assetname,Image URL,assetid,Headline,Impressions,Clicks,Leads,Revenue,Spend,Booked Appts
image (7),https://images.mediago.io/ML/4f154a82a1eedb7b4f3582794e3a28c7__scv1__320x180.png,26349778,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"699,075","4,502",7,750,"1,906",0
image (7),https://images.mediago.io/ML/4f154a82a1eedb7b4f3582794e3a28c7__scv1__320x180.png,26349779,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,"176,495",832,2,150,269,0
image (7),https://images.mediago.io/ML/4f154a82a1eedb7b4f3582794e3a28c7__scv1__320x180.png,26349663,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"20,726",40,0,0,27,0
image (7),https://images.mediago.io/ML/4f154a82a1eedb7b4f3582794e3a28c7__scv1__320x180.png,26349664,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,"1,296",4,0,0,1,0
image (7),https://images.mediago.io/ML/4f154a82a1eedb7b4f3582794e3a28c7__scv1__320x180.png,26446565,Here's How Much New Windows Should Cost In 2025,"15,731",77,1,150,46,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,26446564,Here's How Much New Windows Should Cost In 2025,"12,578",63,0,0,18,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,26446566,${LOCATION_CITY}: Here's How Much New Windows Should Cost,"25,971",199,2,150,112,0
image (8),https://images.mediago.io/ML/eecb0f0d767cfd0c7973186ca7234bd6__scv1__320x180.png,26446569,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,"1,305,706","3,876",11,"1,350","1,816",3
image (7),https://images.mediago.io/ML/4f154a82a1eedb7b4f3582794e3a28c7__scv1__320x180.png,26446567,${LOCATION_CITY}: Here's How Much New Windows Should Cost,0,0,0,0,0,0
image (8),https://images.mediago.io/ML/eecb0f0d767cfd0c7973186ca7234bd6__scv1__320x180.png,26446568,Here's How Much New Windows Should Cost In 2025,"12,892",40,0,0,29,0
